"AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted","Date"
153.169998,153.330002,152.220001,153.179993,16404100,152.034271,"2017-06-01"
153.580002,155.449997,152.889999,155.449997,27770700,154.287292,"2017-06-02"
154.339996,154.449997,153.460007,153.929993,25331700,152.778656,"2017-06-05"
153.899994,155.809998,153.779999,154.449997,26624900,153.294785,"2017-06-06"
155.020004,155.979996,154.479996,155.369995,21069600,154.207901,"2017-06-07"
155.25,155.539993,154.399994,154.990005,21250800,153.830734,"2017-06-08"
155.190002,155.190002,146.020004,148.979996,64882700,147.865692,"2017-06-09"
145.740005,146.089996,142.509995,145.419998,72307300,144.332306,"2017-06-12"
147.160004,147.449997,145.149994,146.589996,34165400,145.493561,"2017-06-13"
147.5,147.5,143.839996,145.160004,31531200,144.074265,"2017-06-14"
143.320007,144.479996,142.210007,144.289993,32165400,143.210754,"2017-06-15"
143.779999,144.5,142.199997,142.270004,50361100,141.205887,"2017-06-16"
143.660004,146.740005,143.660004,146.339996,32541400,145.245438,"2017-06-19"
146.869995,146.869995,144.940002,145.009995,24900100,143.925369,"2017-06-20"
145.520004,146.070007,144.610001,145.869995,21265800,144.778946,"2017-06-21"
145.770004,146.699997,145.119995,145.630005,19106300,144.540756,"2017-06-22"
145.130005,147.160004,145.110001,146.279999,35439400,145.185883,"2017-06-23"
147.169998,148.279999,145.380005,145.820007,25692400,144.72934,"2017-06-26"
145.009995,146.160004,143.619995,143.729996,24761900,142.654953,"2017-06-27"
144.490005,146.110001,143.160004,145.830002,22082400,144.739243,"2017-06-28"
144.710007,145.130005,142.279999,143.679993,31499400,142.605316,"2017-06-29"
144.449997,144.960007,143.779999,144.020004,23024100,142.942795,"2017-06-30"
144.880005,145.300003,143.100006,143.5,14258300,142.426682,"2017-07-03"
143.690002,144.789993,142.720001,144.089996,21569600,143.012253,"2017-07-05"
143.020004,143.5,142.410004,142.729996,24128800,141.66243,"2017-07-06"
142.899994,144.75,142.899994,144.179993,19201700,143.101578,"2017-07-07"
144.110001,145.949997,143.369995,145.059998,21090600,143.975006,"2017-07-10"
144.729996,145.850006,144.380005,145.529999,19781800,144.441483,"2017-07-11"
145.869995,146.179993,144.820007,145.740005,24884500,144.649918,"2017-07-12"
145.5,148.490005,145.440002,147.770004,25199400,146.664749,"2017-07-13"
147.970001,149.330002,147.330002,149.039993,20132100,147.925232,"2017-07-14"
148.820007,150.899994,148.570007,149.559998,23793500,148.441345,"2017-07-17"
149.199997,150.130005,148.669998,150.080002,17868800,148.957474,"2017-07-18"
150.479996,151.419998,149.949997,151.020004,20923000,149.890442,"2017-07-19"
151.5,151.740005,150.190002,150.339996,17243700,149.215515,"2017-07-20"
149.990005,150.440002,148.880005,150.270004,26252600,149.146042,"2017-07-21"
150.580002,152.440002,149.899994,152.089996,21493200,150.952423,"2017-07-24"
151.800003,153.839996,151.800003,152.740005,18853900,151.59758,"2017-07-25"
153.350006,153.929993,153.059998,153.460007,15781000,152.31218,"2017-07-26"
153.75,153.990005,147.300003,150.559998,32476300,149.433868,"2017-07-27"
149.889999,150.229996,149.190002,149.5,17213700,148.38179,"2017-07-28"
149.899994,150.330002,148.130005,148.729996,19845900,147.617554,"2017-07-31"
149.100006,150.220001,148.410004,150.050003,35368600,148.927689,"2017-08-01"
159.279999,159.75,156.160004,157.139999,69936800,155.964661,"2017-08-02"
157.050003,157.210007,155.020004,155.570007,27097300,154.406403,"2017-08-03"
156.070007,157.399994,155.690002,156.389999,20559900,155.220261,"2017-08-04"
157.059998,158.919998,156.669998,158.809998,21870300,157.622162,"2017-08-07"
158.600006,161.830002,158.270004,160.080002,36205900,158.88266,"2017-08-08"
159.259995,161.270004,159.110001,161.059998,26131500,159.855331,"2017-08-09"
159.899994,160,154.630005,155.320007,40804300,154.763657,"2017-08-10"
156.600006,158.570007,156.070007,157.479996,26257100,156.915909,"2017-08-11"
