"","age_group","attend_day_or_evening","attending_germantown","attending_rockville","attending_takoma_park_ss","city_in_md","county_in_md","ethnicity","fall_term","gender","hs_category","mc_program_description","mcps_high_school","race","state","student_status","student_type","zip"
"1","25 - 29","Day Only","Yes","Yes","No","Bethesda","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Health Sciences (Pre-Clinical Studies)","","White","MD","Full-Time","Continuing",20816
"2","21 - 24","Evening Only","No","Yes","No","Olney","Montgomery","Not Hispanic",2015,"Male","MCPS","Building Trades Technology (AA & AAS)","Sherwood High School","White","MD","Part-Time","Continuing",20832
"3","20 or Younger","Day & Evening","No","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Male","MCPS","Computer Gaming & Simulation (AA - All Tracks)","Quince Orchard Sr High School","Black","MD","Part-Time","Continuing",20877
"4","20 or Younger","Day Only","No","Yes","No","North Potomac","Montgomery","Not Hispanic",2015,"Male","MCPS","Graphic Design (AA, AAS, & AFA - All Tracks)","Thomas Sprigg Wootton High Sch","Asian","MD","Full-Time","New",20878
"5","20 or Younger","Day & Evening","No","Yes","No","Silver Spring","Montgomery","Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Montgomery Blair High School","White","MD","Full-Time","New",20906
"6","20 or Younger","Day Only","Yes","No","No","Germantown","Montgomery","Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Clarksburg High School","Hispanic","MD","Full-Time","Continuing",20876
"7","20 or Younger","Day Only","Yes","No","No","Germantown","Montgomery","Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Clarksburg High School","Hispanic","MD","Full-Time","Continuing",20876
"8","20 or Younger","Day Only","No","No","Yes","Silver Spring","Montgomery","Hispanic",2015,"Male","Mont.County Other","Engineering Science (AA & AS - All Tracks)","","Black","MD","Full-Time","New",20903
"9","21 - 24","Day Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Education / Teacher Education (AA & AAT)","","Black","MD","Part-Time","Continuing",20901
"10","25 - 29","Day Only","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Male","Other State","Business / International Business (AA)","","White","MD","Part-Time","Continuing",20851
"11","20 or Younger","Day Only","No","No","Yes","Silver Spring","Montgomery","Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Bethesda Chevy Chase High Schl","White","MD","Part-Time","New",20904
"12","21 - 24","Day Only","No","Yes","No","Darnestown","Montgomery","Not Hispanic",2015,"Male","MCPS","Computer Science & Technologies (AA - All Tracks)","Winston Churchill High School","White","MD","Full-Time","Continuing",20878
"13","21 - 24","Day Only","No","Yes","No","Olney","Montgomery","Not Hispanic",2015,"Male","Other State","Criminal Justice (AA & AAS)","","White","MD","Part-Time","Continuing",20832
"14","20 or Younger","Day Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Montgomery Blair High School","White","MD","Full-Time","Continuing",20910
"15","21 - 24","Day Only","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Rockville High School","White","MD","Part-Time","Continuing",20850
"16","21 - 24","Day Only","No","Yes","Yes","Silver Spring","Montgomery","Hispanic",2015,"Male","MCPS","Business / International Business (AA)","Northwood High School","Hispanic","MD","Full-Time","Continuing",20902
"17","20 or Younger","Day Only","Yes","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Female","MCPS","Health Sciences (Pre-Clinical Studies)","Sherwood High School","Pacific Islander","MD","Full-Time","Continuing",20877
"18","21 - 24","No Specific Time[online]","No","No","Yes","Prince Frederick","Calvert","Not Hispanic",2015,"Female","Other Maryland","Diagnostic Medical Sonography (AA & AAS)","","White","MD","Part-Time","Continuing",20678
"19","20 or Younger","Day Only","No","Yes","No","Derwood","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Colonel Zadok Magruder HS","White","MD","Full-Time","Continuing",20855
"20","20 or Younger","Day Only","No","Yes","No","Derwood","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Colonel Zadok Magruder HS","White","MD","Full-Time","Continuing",20855
"21","20 or Younger","Day & Evening","No","Yes","No","Germantown","Montgomery","Not Hispanic",2015,"Female","MCPS","Criminal Justice (AA & AAS)","Northwest HS - Germantown","White","MD","Part-Time","Continuing",20874
"22","20 or Younger","Day Only","No","Yes","No","Rockville","Montgomery","Hispanic",2015,"Female","MCPS","Arts & Sciences Transfer (AA - All Tracks)","Walter Johnson High School","Hispanic","MD","Full-Time","New",20852
"23","30 or Older","Day & Evening","No","Yes","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Male","Foreign Country","Engineering Science (AA & AS - All Tracks)","","Black","MD","Full-Time","Continuing",20903
"24","20 or Younger","Day & Evening","No","Yes","No","Olney","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Sherwood High School","Asian","MD","Full-Time","New",20832
"25","20 or Younger","Day Only","No","Yes","No","Rockville","Montgomery","Hispanic",2015,"Male","MCPS","Business / International Business (AA)","Richard Montgomery High School","White","MD","Full-Time","New",20851
"26","21 - 24","Day Only","No","Yes","No","Potomac","Montgomery","Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Winston Churchill High School","Multi-Race","MD","Part-Time","Continuing",20854
"27","20 or Younger","Day Only","No","No","Yes","Washington","Other","Not Hispanic",2015,"Female","Other State","Criminal Justice (AA & AAS)","","Black","DC","Full-Time","New",20020
"28","20 or Younger","Day Only","Yes","No","No","Germantown","Montgomery","Hispanic",2015,"Female","MCPS","Education / Teacher Education (AA & AAT)","Seneca Valley High School","White","MD","Full-Time","Continuing",20876
"29","21 - 24","No Specific Time[online]","No","Yes","No","Germantown","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Northwest HS - Germantown","Black","MD","Part-Time","Continuing",20874
"30","30 or Older","Evening Only","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Male","Other State","General Studies (AA - All Tracks)","","Asian","MD","Part-Time","Continuing",20852
"31","21 - 24","No Specific Time[online]","Yes","No","No","Bethesda","Montgomery","Not Hispanic",2015,"Male","Other State","Engineering Science (AA & AS - All Tracks)","","Black","MD","Part-Time","Continuing",20814
"32","30 or Older","Day Only","Yes","No","No","Gaithersburg","Montgomery","Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Wheaton High School","Hispanic","MD","Part-Time","Continuing",20879
"33","20 or Younger","No Specific Time[online]","No","Yes","Yes","Gaithersburg","Montgomery","Not Hispanic",2015,"Male","Other State","Health Sciences (Pre-Clinical Studies)","","Asian","MD","Full-Time","Transfer no degree",20877
"34","20 or Younger","Day & Evening","Yes","Yes","No","Montgomery Village","Montgomery","Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Bethesda Chevy Chase High Schl","White","MD","Full-Time","New",20886
"35","25 - 29","Day Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Male","GED","Business / International Business (AA)","","Black","MD","Part-Time","Continuing",20915
"36","21 - 24","Day Only","Yes","No","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Gaithersburg High School","White","MD","Part-Time","Continuing",20879
"37","21 - 24","Evening Only","No","Yes","No","Rockville","Montgomery","Hispanic",2015,"Female","MCPS","Credit (Undeclared / Undecided)","Rockville High School","White","MD","Part-Time","Continuing",20851
"38","20 or Younger","Day Only","No","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Colonel Zadok Magruder HS","White","MD","Part-Time","Continuing",20879
"39","21 - 24","Day & Evening","No","Yes","No","Silver Spring","Montgomery","Hispanic",2015,"Male","MCPS","Credit (Undeclared / Undecided)","Damascus High School","Hispanic","MD","Part-Time","Continuing",20902
"40","25 - 29","No Specific Time[online]","Yes","No","Yes","Silver Spring","Montgomery","Unknown",2015,"Male","MCPS","General Studies (AA - All Tracks)","Springbrook Sr High School","Asian","MD","Part-Time","Continuing",20904
"41","20 or Younger","Day & Evening","No","Yes","No","Gaithersburg","Montgomery","Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Gaithersburg High School","Multi-Race","MD","Part-Time","Continuing",20877
"42","20 or Younger","Day Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Male","MCPS","Science (AS - All Tracks)","Paint Branch High School","Asian","MD","Full-Time","Continuing",20904
"43","20 or Younger","Day Only","Yes","No","No","Montgomery Village","Montgomery","Not Hispanic",2015,"Male","Home-Schooled","Computer Science & Technologies (AA - All Tracks)","","White","MD","Part-Time","HS Student",20886
"44","30 or Older","Evening Only","No","Yes","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Male","MCPS","Computer Science & Technologies (AA - All Tracks)","Montgomery Blair High School","Black","MD","Part-Time","Continuing",20901
"45","30 or Older","Day Only","No","No","Yes","Silver Spring","Montgomery","Hispanic",2015,"Male","Foreign Country","Credit (Undeclared / Undecided)","","Hispanic","MD","Part-Time","Continuing",20902
"46","30 or Older","Day Only","No","No","Yes","Silver Spring","Montgomery","Hispanic",2015,"Male","Foreign Country","Credit (Undeclared / Undecided)","","Hispanic","MD","Part-Time","Continuing",20902
"47","20 or Younger","Day Only","Yes","No","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Female","Home-Schooled","General Studies (AA - All Tracks)","","Black","MD","Part-Time","HS Student",20879
"48","20 or Younger","Day Only","No","No","Yes","Columbia","Other","Not Hispanic",2015,"Female","Other State","General Studies (AA - All Tracks)","","White","MO","Full-Time","Transfer no degree",65203
"49","20 or Younger","Day & Evening","Yes","Yes","No","Gaithersburg","Montgomery","Hispanic",2015,"Male","MCPS","Accounting (AA & AAS)","Quince Orchard Sr High School","White","MD","Full-Time","New",20877
"50","20 or Younger","Day Only","No","Yes","No","Rockville","Montgomery","Hispanic",2015,"Female","MCPS","Health Sciences (Pre-Clinical Studies)","Albert Einstein HS & MC Art Cn","Black","MD","Full-Time","New",20853
"51","21 - 24","Day Only","No","Yes","Yes","Takoma Park","Montgomery","Not Hispanic",2015,"Female","MCPS","Arts & Sciences Transfer (AA - All Tracks)","Northwood High School","Black","MD","Part-Time","Continuing",20912
"52","30 or Older","Day Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Accounting (AA & AAS)","","Black","MD","Full-Time","Continuing",20902
"53","20 or Younger","Day Only","Yes","No","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Female","Home-Schooled","General Studies (AA - All Tracks)","","White","MD","Part-Time","HS Student",20882
"54","20 or Younger","Day Only","Yes","No","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Female","Home-Schooled","General Studies (AA - All Tracks)","","White","MD","Part-Time","HS Student",20882
"55","20 or Younger","Day Only","Yes","No","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Female","Home-Schooled","General Studies (AA - All Tracks)","","White","MD","Part-Time","HS Student",20882
"56","20 or Younger","Day Only","No","Yes","No","Silver Spring","Montgomery","Hispanic",2015,"Male","MCPS","Health Sciences (Pre-Clinical Studies)","Wheaton High School","White","MD","Part-Time","New",20906
"57","21 - 24","Day Only","Yes","No","No","Derwood","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Colonel Zadok Magruder HS","White","MD","Full-Time","Continuing",20855
"58","30 or Older","Day & Evening","No","Yes","No","Bethesda","Montgomery","Not Hispanic",2015,"Male","Foreign Country","Building Trades Technology (CT)","","Black","MD","Part-Time","New",20817
"59","21 - 24","Day & Evening","No","No","Yes","Silver Spring","Montgomery","Hispanic",2015,"Female","MCPS","Science (AS - All Tracks)","Montgomery Blair High School","Hispanic","MD","Full-Time","Continuing",20901
"60","20 or Younger","Day Only","Yes","Yes","No","Derwood","Montgomery","Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Richard Montgomery High School","White","MD","Full-Time","Continuing",20855
"61","25 - 29","Day Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","MCPS","Arts & Sciences Transfer (AA - All Tracks)","Montgomery Blair High School","Asian","MD","Part-Time","Continuing",20910
"62","30 or Older","Evening Only","No","Yes","No","Kensington","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Engineering Science (AA & AS - All Tracks)","","Asian","MD","Part-Time","Continuing",20895
"63","25 - 29","Day Only","No","Yes","No","Poolesville","Montgomery","Not Hispanic",2015,"Female","Other State","General Studies (AA - All Tracks)","","White","MD","Part-Time","Continuing",20837
"64","20 or Younger","Day & Evening","Yes","Yes","No","Montgomery Village","Montgomery","Hispanic",2015,"Male","MCPS","Business / International Business (AA)","Colonel Zadok Magruder HS","Native American","MD","Full-Time","Continuing",20886
"65","21 - 24","Day Only","No","Yes","No","Gaithersburg","Montgomery","Hispanic",2015,"Female","Other Maryland","General Studies (AA - All Tracks)","","Hispanic","MD","Part-Time","Continuing",20877
"66","20 or Younger","No Specific Time[online]","No","No","Yes","Germantown","Montgomery","Hispanic",2015,"Female","MCPS","Education / Teacher Education (AA & AAT)","Seneca Valley High School","White","MD","Part-Time","Transfer no degree",20874
"67","21 - 24","No Specific Time[online]","Yes","No","Yes","Clarksburg","Montgomery","Hispanic",2015,"Male","Other State","Graphic Design (AA, AAS, & AFA - All Tracks)","","Hispanic","MD","Part-Time","Continuing",20871
"68","20 or Younger","Day Only","No","No","Yes","Silver Spring","Montgomery","Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Albert Einstein HS & MC Art Cn","Multi-Race","MD","Part-Time","New",20902
"69","21 - 24","Day & Evening","Yes","No","No","Germantown","Montgomery","Not Hispanic",2015,"Male","MCPS","Science (AS - All Tracks)","Clarksburg High School","Black","MD","Part-Time","Continuing",20876
"70","25 - 29","Day Only","No","Yes","No","Silver Spring","Montgomery","Hispanic",2015,"Female","MCPS","Education / Teacher Education (AA & AAT)","Springbrook Sr High School","Hispanic","MD","Full-Time","Continuing",20904
"71","20 or Younger","Day Only","Yes","Yes","No","Derwood","Montgomery","Hispanic",2015,"Male","MCPS","Graphic Design (AA, AAS, & AFA - All Tracks)","Colonel Zadok Magruder HS","Pacific Islander","MD","Full-Time","New",20855
"72","20 or Younger","Day Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Male","MCPS","Health Sciences (Pre-Clinical Studies)","Northwood High School","Black","MD","Full-Time","Continuing",20906
"73","21 - 24","Day Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Montgomery Blair High School","Black","MD","Full-Time","Continuing",20910
"74","20 or Younger","Day Only","No","Yes","No","Potomac","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Watkins Mill High School","Multi-Race","MD","Full-Time","Continuing",20854
"75","30 or Older","Evening Only","Yes","No","No","Montgomery Village","Montgomery","Not Hispanic",2015,"Male","Other Maryland","Business / International Business (AA)","","Asian","MD","Part-Time","Continuing",20886
"76","20 or Younger","Day Only","Yes","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Male","MCPS","Arts & Sciences Transfer (AA - All Tracks)","James Hubert Blake High School","Asian","MD","Part-Time","Transfer no degree",20904
"77","21 - 24","Day Only","No","No","Yes","Rockville","Montgomery","Unknown",2015,"Male","Foreign Country","Photography (AA & AAS)","","White","MD","Part-Time","New",20850
"78","20 or Younger","No Specific Time[online]","Yes","No","No","Potomac","Montgomery","Not Hispanic",2015,"Male","MCPS","Computer Science - Computer Programming (CT)","Walt Whitman High School","Asian","MD","Part-Time","HS Student",20854
"79","21 - 24","Evening Only","Yes","No","No","Gaithersburg","Montgomery","Unknown",2015,"Female","Other State","School of Art & Design - Applicants","","White","MD","Part-Time","Continuing",20879
"80","20 or Younger","Day Only","Yes","Yes","No","Germantown","Prince George's","Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Northwest HS - Germantown","White","MD","Full-Time","Continuing",20784
"81","30 or Older","Day Only","No","Yes","No","North Potomac","Montgomery","Unknown",2015,"Male","Foreign Country","General Studies (AA - All Tracks)","","White","MD","Part-Time","New",20878
"82","20 or Younger","Day Only","Yes","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Male","MCPS","Credit (Undeclared / Undecided)","Thomas Sprigg Wootton High Sch","Asian","MD","Full-Time","Continuing",20878
"83","20 or Younger","Day Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Male","MCPS","Criminal Justice (AA & AAS)","Springbrook Sr High School","Asian","MD","Full-Time","Continuing",20903
"84","20 or Younger","Day Only","Yes","No","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Male","MCPS","Early Childhood Education (AA & AAS)","Quince Orchard Sr High School","White","MD","Part-Time","New",20878
"85","21 - 24","Day Only","Yes","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Male","Home-Schooled","Engineering Science (AA & AS - All Tracks)","","White","MD","Full-Time","Continuing",20879
"86","20 or Younger","Day & Evening","No","No","Yes","Hyattsville","Prince George's","Not Hispanic",2015,"Female","Other Maryland","General Studies (AA - All Tracks)","","Asian","MD","Part-Time","New",20783
"87","20 or Younger","Day Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Male","MCPS","Communication Studies (AA)","John F. Kennedy High School","Black","MD","Part-Time","New",20906
"88","30 or Older","Day Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Male","MCPS","Education / Teacher Education (AA & AAT)","Montgomery Blair High School","White","MD","Part-Time","Transfer with degree",20910
"89","20 or Younger","Day & Evening","No","Yes","No","Montgomery Village","Montgomery","Hispanic",2015,"Female","MCPS","Business / International Business (AA)","Winston Churchill High School","White","MD","Full-Time","Continuing",20886
"90","21 - 24","Day Only","No","No","Yes","Bowie","Prince George's","Not Hispanic",2015,"Male","Other Maryland","General Studies (AA - All Tracks)","","White","MD","Full-Time","New",20720
